Classi di età;Quartiere 1;Quartiere 2;Quartiere 3;Quartiere 4;Quartiere 5;Totale
0-4;1.948;2.838;1.188;2.226;3.696;11.896
5-9;2.429;3.656;1.552;2.793;4.326;14.756
10-14;2.361;3.808;1.808;3.043;4.327;15.347
15-19;2.366;3.791;1.921;3.068;4.629;15.775
20-24;2.655;3.986;1.771;2.897;4.837;16.146
25-29;3.463;4.121;1.832;2.887;5.614;17.917
30-34;4.377;4.733;1.858;3.228;6.533;20.729
35-39;4.768;5.291;2.072;3.794;7.005;22.930
40-44;4.765;6.016;2.403;4.538;7.276;24.998
45-49;5.250;6.829;3.223;5.640;8.406;29.348
50-54;5.259;7.410;3.560;5.781;8.587;30.597
55-59;4.857;6.998;3.188;5.094;8.002;28.139
60-64;4.349;5.979;2.745;4.180;6.692;23.945
65-69;3.786;5.386;2.298;3.866;5.783;21.119
70-74;3.604;5.626;2.394;4.446;6.200;22.270
75-79;2.729;4.575;2.100;3.585;5.322;18.311
80-84;2.321;4.441;2.171;3.451;4.930;17.314
85-89;1.459;3.068;1.532;2.230;3.371;11.660
90 e oltre;1.263;2.397;1.162;1.399;2.372;8.593
Totale;64.009;90.949;40.778;68.146;107.908;371.790
